-23,14,58
-23,14,58
-23,16,57
-25,14,57
-29,15,53
-30,15,52
-30,14,52
-29,13,55
-28,14,56
-27,13,56
-28,13,56
-29,14,55
-29,14,55
-28,13,55
-28,13,55
-28,14,55
-29,14,55
-29,14,55
-28,14,55
-28,14,55
-28,13,55
-28,14,56
-28,13,56
-28,13,55
-28,14,55
-27,13,56
-27,13,56
-28,13,55
-28,13,55
-29,13,55
-28,13,56
-28,13,56
-29,13,55
-28,13,55
-28,13,56
-28,12,56
-29,11,55
-29,11,56
-27,13,56
-29,13,54
-30,13,54
-28,11,56
-27,11,56
-40,8,39
-43,6,39
-18,21,58
0,22,66
-5,20,60
4,22,68
2,21,68
-8,19,57
-10,20,57
-3,20,63
-5,18,61
-9,19,59
-5,22,65
-3,22,66
-14,14,59
-15,15,59
-25,12,53
-28,13,50
-28,12,53
