session,part_label,round,cash,shares,periods_until_auto_buy,periods_until_auto_sell,shares_transacted,trans_cost,cash_after_trade,interest_earned,dividend_earned,cash_result,shares_result,f0,f1,f2,f3,fcast_rnd_0,fcast_rnd_1,fcast_rnd_2,fcast_rnd_3,fcast_err_0,fcast_err_1,fcast_err_2,fcast_err_3,risk_1,risk_2,risk_3,risk_4,risk_rh,risk_rl,risk_sh,risk_sl,risk_phi_1,risk_phi_2,risk_phi_3,risk_phi_4,risk_reward,dose_r,dose_mu,is_mv,buy_quant,sell_quant,market_price,stock_value,equity
898aphuw,kfzc0i99_02E,3,151.94,2.0,-99,-99,-1,20.0,171.94,8.6,1.0,181.54,1.0,16.0,16.0,16.0,16.0,3.0,5.0,8.0,13.0,4.0,7.0,9.0,10.0,0.0,1.0,0.0,1.0,18.5,1.25,11.0,8.5,37.0,55.0,47.0,61.0,,0.8105573942183273,2.51737091874195,False,1,1,18.0,36.0,187.94
898aphuw,667b252c7a8e4a841804560d,3,118.45,4.0,-99,-99,0,0.0,118.45,5.92,4.0,128.37,4.0,20.0,18.0,16.0,10.0,3.0,5.0,8.0,13.0,0.0,5.0,9.0,16.0,0.0,1.0,1.0,0.0,18.5,1.25,11.0,8.5,37.0,55.0,47.0,42.0,,-0.2517031298978842,2.986452717150165,False,0,0,18.0,72.0,190.45
898aphuw,66491e9882aaa64c5d0911d5,3,136.35,3.0,-99,-99,0,0.0,136.35,6.82,3.0,146.17,3.0,17.0,17.0,18.0,19.0,3.0,5.0,8.0,13.0,3.0,6.0,7.0,7.0,0.0,0.0,1.0,0.0,18.5,1.25,11.0,8.5,37.0,55.0,72.0,69.0,,0.4874126880044259,3.373111964761049,False,1,0,18.0,54.0,190.35
898aphuw,61115178c8a4bbd5832f32ba,3,118.45,4.0,-99,-99,0,0.0,118.45,5.92,4.0,128.37,4.0,18.0,20.0,22.0,24.0,3.0,5.0,8.0,13.0,2.0,3.0,3.0,2.0,0.0,0.0,1.0,1.0,18.5,1.25,11.0,8.5,37.0,55.0,72.0,69.0,,0.8834515647686981,3.323396480407602,False,3,0,18.0,72.0,190.45
898aphuw,663c18b624172c32a8dbb066,3,185.43,0.0,-99,-99,0,0.0,185.43,9.27,0.0,194.7,0.0,,,,,3.0,5.0,8.0,13.0,,,,,1.0,,,0.0,18.5,1.25,11.0,8.5,37.0,25.0,25.0,25.0,,-1.104284592127074,2.867543542002348,False,4,0,18.0,0.0,185.43
898aphuw,6595e3b4dc9090390e4edb5f,3,118.45,4.0,-99,-99,2,-40.0,78.45,3.92,6.0,88.37,6.0,19.0,21.0,25.0,27.0,3.0,5.0,8.0,13.0,1.0,2.0,0.0,-1.0,0.0,,1.0,1.0,18.5,1.25,11.0,8.5,37.0,55.0,55.0,47.0,,0.3983258592314111,2.9440779711477205,False,2,0,18.0,72.0,190.45
898aphuw,5700616b8a49c7000d0c73ad,4,199.11,0.0,-99,-99,0,0.0,199.11,9.96,0.0,209.07,0.0,20.0,25.0,32.0,35.0,4.0,6.0,9.0,14.0,2.0,-1.0,-7.0,-9.0,0.0,0.0,1.0,1.0,18.75,1.5,10.75,8.25,34.0,51.0,68.0,66.0,,0.8865382707019821,3.307924237215062,False,4,0,20.0,0.0,199.11
898aphuw,5885f97f41da4500014d3645,4,57.19,8.0,-99,-99,2,-44.0,13.19,0.66,10.0,23.85,10.0,23.0,26.0,37.0,49.0,4.0,6.0,9.0,14.0,-1.0,-2.0,-12.0,-23.0,0.0,0.0,0.0,1.0,18.75,1.5,10.75,8.25,34.0,51.0,68.0,96.0,,1.1772200594095774,3.015780593230531,False,2,0,20.0,160.0,217.19
898aphuw,kfzc0i99_59A,4,168.37,2.0,-99,-99,0,0.0,168.37,8.42,2.0,178.79,2.0,22.0,25.0,30.0,24.0,4.0,6.0,9.0,14.0,0.0,-1.0,-5.0,2.0,0.0,0.0,0.0,1.0,18.75,1.5,10.75,8.25,34.0,51.0,68.0,96.0,,1.1772200594095774,3.015780593230531,False,1,0,20.0,40.0,208.37
898aphuw,5c9623dd35599200175642e4,4,128.37,4.0,-99,-99,0,0.0,128.37,6.42,4.0,138.79,4.0,20.0,21.0,21.0,22.0,4.0,6.0,9.0,14.0,2.0,3.0,4.0,4.0,0.0,0.0,0.0,1.0,18.75,1.5,10.75,8.25,34.0,51.0,68.0,96.0,,1.1772200594095774,3.015780593230531,False,3,0,20.0,80.0,208.37
