Temp,Sample,Timestamp,Time,1709836125
32.65,614,1709836278.50,13:31:18.50,
32.65,615,1709836278.75,13:31:18.75,
32.66,616,1709836279.00,13:31:19.00,
32.66,617,1709836279.25,13:31:19.25,
32.66,618,1709836279.50,13:31:19.50,
32.66,619,1709836279.75,13:31:19.75,
32.65,620,1709836280.00,13:31:20.00,
32.65,621,1709836280.25,13:31:20.25,
32.65,622,1709836280.50,13:31:20.50,
32.65,623,1709836280.75,13:31:20.75,
32.66,624,1709836281.00,13:31:21.00,
32.66,625,1709836281.25,13:31:21.25,
32.66,626,1709836281.50,13:31:21.50,
32.66,627,1709836281.75,13:31:21.75,
32.66,628,1709836282.00,13:31:22.00,
32.66,629,1709836282.25,13:31:22.25,
32.66,630,1709836282.50,13:31:22.50,
32.66,631,1709836282.75,13:31:22.75,
32.68,632,1709836283.00,13:31:23.00,
